Exercise,Sets,Reps,Weight,Date,id
PowerClean,1,3,175,09/13/25,162
Squat,2,3,255,09/10/25,163
Squat,8,2,185,09/13/25,164
Deadlift,1,1,365,09/17/25,165
Deadlift,1,3,395,09/17/25,166
PowerClean,5,3,135,09/21/25,167
OverheadPress,3,8,115,09/16/25,168
OverheadPress,1,12,95,09/19/25,169
OverheadPress,2,10,105,09/19/25,170
Bench,1,3,205,09/19/25,171
TouchNGoBench,2,10,185,09/19/25,172
PauseSquat,1,4,185,09/17/25,173
PauseSquat,3,4,205,09/17/25,174
Bench,1,3,185,09/29/25,175
Bench,1,3,205,09/29/25,176
Bench,1,3,215,09/29/25,177
Squat,1,3,275,09/24/25,178
Squat,2,4,245,09/24/25,179
OverheadPress,1,7,125,09/22/25,180
InclineBench,9,3,135,09/22/25,181
Bench,8,3,155,10/03/25,182
PowerClean,1,3,135,10/01/25,183
PowerClean,3,3,155,10/01/25,184
Squat,6,2,185,10/01/25,185
PowerClean,1,1,165,10/09/25,186
PowerClean,1,1,185,10/09/25,187
PowerClean,4,3,135,10/13/25,188
PauseSquat,2,3,205,10/06/25,189
PauseSquat,2,3,225,10/06/25,190
PauseSquat,2,5,185,10/09/25,191
Squat,1,3,280,10/13/25,192
OverheadPress,3,8,115,10/07/25,193
InclineBench,1,5,175,10/07/25,194
Deadlift,1,1,375,10/06/25,195
Deadlift,1,2,405,10/06/25,196
Deadlift,1,5,315,10/06/25,197
Bench,8,3,155,10/03/25,198
OverheadPress,2,7,115,10/16/25,199
OverheadPress,3,8,115,10/19/25,200
HangClean,4,3,115,10/16/25,201
Deadlift,1,2,395,10/16/25,202
Deadlift,1,5,325,10/16/25,203
OverheadPress,1,8,115,10/27/25,204
OverheadPress,2,6,125,10/27/25,205
PowerClean,1,5,95,10/23/25,206
PowerClean,2,4,115,10/23/25,207
PowerClean,5,3,115,10/23/25,208
Deadlift,2,3,365,10/25/25,209
Squat,1,3,185,10/23/25,210
Squat,1,3,225,10/23/25,211
Squat,1,3,235,10/23/25,212
Squat,1,3,245,10/23/25,213
Squat,1,3,285,10/23/25,214
Squat,1,8,185,10/23/25,215
PauseSquat,3,5,225,10/28/25,216
PauseBench,3,8,155,10/30/25,217
PowerClean,3,3,145,10/28/25,218
PowerClean,1,3,165,10/28/25,219
Squat,1,3,290,11/03/25,220
Squat,1,6,225,11/03/25,221
PauseBench,3,6,175,11/04/25,222
PauseBench,1,6,155,11/04/25,223
OverheadPress,2,6,115,11/04/25,224
Deadlift,1,3,385,11/06/25,225
PowerClean,2,3,135,11/03/25,226
PowerClean,2,3,135,11/09/25,227
PowerClean,2,3,135,11/09/25,228
PowerClean,2,3,135,11/09/25,229
HangClean,4,4,115,11/06/25,230
OverheadPress,1,6,115,11/16/25,231
OverheadPress,1,6,125,11/16/25,232
PowerClean,2,3,135,11/09/25,233
HangClean,3,6,95,11/14/25,234
Deadlift,1,2,410,11/14/25,235
Deadlift,1,3,315,11/14/25,236
PauseBench,3,6,185,11/12/25,237
Squat,1,2,295,11/11/25,238
Squat,1,6,235,11/11/25,239
